NAME,Code,INDUSTRY GROUP,INDUSTRY GROUP,MNEMONIC,CURRENCY,GEOGRAPHIC DESCR.,ISIN CODE
BANCO BPM,682797,102,Banks,I:BP,E,ITALY,IT0005218380
BANK OF IRELAND GROUP,906225,102,Banks,BIRG,E,IRELAND,IE00BD1RP616
BANKIA,77436R,102,Banks,E:BKIA,E,SPAIN,ES0113307062
BANKINTER 'R',756572,102,Banks,E:BKT,E,SPAIN,ES0113679I37
BARCLAYS,901443,102,Banks,BARC,Pound,UNITED KINGDOM,GB0031348658
BARRATT DEVELOPMENTS,906309,36,Home Construction,BDEV,Pound,UNITED KINGDOM,GB0000811801
BARRY CALLEBAUT,682796,71,Food Products,S:BARN,SF,SWITZERLAND,CH0009002962
BASF (XET),866034,92,Chemicals: Divers.,D:BASX,E,GERMANY,DE000BASF111
BAYER (XET),866035,95,Pharmaceuticals,D:BAYNX,E,GERMANY,DE000BAY0017
BB BIOTECH N,309759,157,Biotechnology,S:BION,SF,SWITZERLAND,CH0038389992
BBA AVIATION,900293,64,Transport Services,BBA,Pound,UNITED KINGDOM,GB00B1FP8915
BBV.ARGENTARIA,779090,102,Banks,E:BBVA,E,SPAIN,ES0113211835
BANCO COMR.PORTUGUES 'R',756191,102,Banks,P:BCP,E,PORTUGAL,PTBCP0AM0015
BANCO DE SABADELL,258990,102,Banks,E:BSAB,E,SPAIN,ES0113860A34
BANCO SANTANDER,702853,102,Banks,E:SAN,E,SPAIN,ES0113900J37
BEAZLEY,26473F,107,Prop. & Casualty Ins.,BEZ,Pound,UNITED KINGDOM,GB00BYQ0JC66
BECHTLE (XET),290299,150,Computer Services,D:BC8X,E,GERMANY,DE0005158703
BEIERSDORF (XET),870528,48,Personal Products,D:BEIX,E,GERMANY,DE0005200000
BELIMO HOLDING,866091,205,Bldg: Climate Control,S:BEAN,SF,SWITZERLAND,CH0001503199
BELLWAY,904076,36,Home Construction,BWY,Pound,UNITED KINGDOM,GB0000904986
BERKELEY GROUP HDG.,974117,36,Home Construction,BKG,Pound,UNITED KINGDOM,GB00B02L3W35
BHP GROUP,899188,122,General Mining,BHP,Pound,UNITED KINGDOM,GB00BH0P3Z91
BIC,930885,62,Nondur.Household Prod,F:BIC,E,FRANCE,FR0000120966
BIOMERIEUX,29169X,132,Medical Equipment,F:BIM,E,FRANCE,FR0013280286
BMW (XET),866038,65,Automobiles,D:BMWX,E,GERMANY,DE0005190003
BNP PARIBAS,309449,102,Banks,F:BNP,E,FRANCE,FR0000131104
BOLIDEN ORD SHS,14851R,122,General Mining,W:BOL,SK,SWEDEN,SE0012455673
BOLLORE,997966,64,Transport Services,F:MATI,E,FRANCE,FR0000039299
BOLSAS Y MERCADOS ESPANOLES,36252X,111,Investment Services,E:BOLS,E,SPAIN,ES0115056139
BOSKALIS WESTMINSTER,922358,39,Construction,H:BOSK,E,NETHERLANDS,NL0000852580
BOUYGUES,923500,39,Construction,F:ENT,E,FRANCE,FR0000120503
BP,900995,97,Integrated Oil & Gas,BP.,Pound,UNITED KINGDOM,GB0007980591
BRENNTAG (XET),69026P,92,Chemicals: Divers.,D:BNRX,E,GERMANY,DE000A1DAHH0
BRITISH AMERICAN TOBACCO,901295,79,Tobacco,BATS,Pound,UNITED KINGDOM,GB0002875804
BRITISH LAND,901587,163,Diversified REITs,BLND,Pound,UNITED KINGDOM,GB0001367019
BRITVIC,32480C,114,Soft Drinks,BVIC,Pound,UNITED KINGDOM,GB00B0N8QD54
BT GROUP,900888,142,Telecom. Services,BT.A,Pound,UNITED KINGDOM,GB0030913577
BUCHER INDUSTRIES,741050,228,Machinery: Agri.,S:BUCN,SF,SWITZERLAND,CH0002432174
BUNZL,901067,101,Divers. Industrials,BNZL,Pound,UNITED KINGDOM,GB00B0744B38
BURBERRY GROUP,25968K,69,"Clothing, Accessories",BRBY,Pound,UNITED KINGDOM,GB0031743007
BUREAU VERITAS,51185D,259,Prof.Business Support,F:BVI,E,FRANCE,FR0006174348
CAIXABANK,51170Q,102,Banks,E:CABK,E,SPAIN,ES0140609019
CAPGEMINI,702043,150,Computer Services,F:CAP,E,FRANCE,FR0000125338
CAPITA,953830,259,Prof.Business Support,CPI,Pound,UNITED KINGDOM,GB00B23K0M20
CARL ZEISS MEDITEC (XET),287937,132,Medical Equipment,D:AFXX,E,GERMANY,DE0005313704
CARLSBERG B,997371,67,Brewers,DK:CAB,DK,DENMARK,DK0010181759
CARNIVAL,265148,94,Travel & Tourism,CCL,Pound,UNITED KINGDOM,GB0031215220
CARREFOUR,922029,88,Food Retail & Wsale,F:CRFR,E,FRANCE,FR0000120172
CASINO GUICHARD-P,923254,88,Food Retail & Wsale,F:CSO,E,FRANCE,FR0000125585
CASTELLUM,897359,112,"Real Estate Hold, Dev",W:CAST,SK,SWEDEN,SE0000379190
CD PROJECT RED,15145R,212,Elec. Entertainment,PO:CDR,PZ,POLAND,PLOPTTC00011
CELLNEX TELECOM,9505KZ,142,Telecom. Services,E:CLNX,E,SPAIN,ES0105066007
CEMBRA MONEY BANK N ORD,92219M,102,Banks,S:CMBN,SF,SWITZERLAND,CH0225173167
CENTRICA,888276,91,Multi-Utilities,CNA,Pound,UNITED KINGDOM,GB00B033F229
CHRISTIAN HANSEN HOLDING,69533L,157,Biotechnology,DK:CHR,DK,DENMARK,DK0060227585
CHRISTIAN DIOR,539616,69,"Clothing, Accessories",F:CDI,E,FRANCE,FR0000130403
RICHEMONT N,779102,227,Luxury Items,S:CFR,SF,SWITZERLAND,CH0210483332
CINEWORLD GROUP,36072J,55,Recreational Services,CINE,Pound,UNITED KINGDOM,GB00B15FWH70
CLARIANT,143981,92,Chemicals: Divers.,S:CLN,SF,SWITZERLAND,CH0012142631
CLOSE BROTHERS GROUP,905313,102,Banks,CBG,Pound,UNITED KINGDOM,GB0007668071
CNH INDUSTRIAL,90573W,117,"Comm. Vehicles, Parts",I:CNHI,E,ITALY,NL0010545661
CNP ASSURANCES,685687,106,Life Insurance,F:CNP,E,FRANCE,FR0000120222
COBHAM,904313,98,Aerospace,COB,Pound,UNITED KINGDOM,GB00B07KD360
COCA-COLA HBC,88346T,114,Soft Drinks,CCH,Pound,UNITED KINGDOM,CH0198251305
COFINIMMO,143451,239,Office REITs,B:COFN,E,BELGIUM,BE0003593044
COLOPLAST B,944371,103,Medical Supplies,DK:COL,DK,DENMARK,DK0060448595
COMMERZBANK (XET),866039,102,Banks,D:CBKX,E,GERMANY,DE000CBK1001
COMPASS GROUP,255049,256,Vending & Catering,CPG,Pound,UNITED KINGDOM,GB00BD6K4575
CONTINENTAL (XET),866040,53,Tires,D:CONX,E,GERMANY,DE0005439004
CONVATEC GROUP,2643R5,103,Medical Supplies,CTEC,Pound,UNITED KINGDOM,GB00BD3VFW73
COVESTRO (XET),8655VU,33,Specialty Chemicals,D:1COVX,E,GERMANY,DE0006062144
COVIVIO,772623,239,Office REITs,F:GARA,E,FRANCE,FR0000064578
CREDIT AGRICOLE,14866R,102,Banks,F:CRDA,E,FRANCE,FR0000045072
CREDIT SUISSE GROUP,950701,113,Div. Fin. Services,S:CSGN,SF,SWITZERLAND,CH0012138530
CRH (DUB),911840,30,Bldg Materials: Other,CRG,E,UNITED KINGDOM,IE0001827041
CRODA INTERNATIONAL,900476,92,Chemicals: Divers.,CRDA,Pound,UNITED KINGDOM,GB00BJFFLV09
CYBG,8898PW,102,Banks,CYBG,Pound,UNITED KINGDOM,GB00BD6GN030
DAIMLER (XET),688701,65,Automobiles,D:DAIX,E,GERMANY,DE0007100000
DANONE,912833,71,Food Products,F:BSN,E,FRANCE,FR0000120644
DANSKE BANK,929846,102,Banks,DK:DAB,DK,DENMARK,DK0010274414
DASSAULT AVIATION,936564,98,Aerospace,F:AM@F,E,FRANCE,FR0000121725
DASSAULT SYSTEMES,866708,58,Software,F:DSY,E,FRANCE,FR0000130650
DAVIDE CAMPARI MILANO,259385,68,Distillers & Vintners,I:CPR,E,ITALY,IT0005252207
DCC,135588,250,Security Services,DCC,E,UNITED KINGDOM,IE0002424939
DECHRA PHARMACEUTICALS,264572,95,Pharmaceuticals,DPH,Pound,UNITED KINGDOM,GB0009633180
DELIVERY HERO (XET),9111G4,156,Consumer Svs: Misc.,D:DHERX,E,GERMANY,DE000A2E4K43
DEMANT,143721,132,Medical Equipment,DK:WDH,DK,DENMARK,DK0060738599
DERWENT LONDON,926373,239,Office REITs,DLN,Pound,UNITED KINGDOM,GB0002652740
DEUTSCHE BANK (XET),866043,113,Div. Fin. Services,D:DBKX,E,GERMANY,DE0005140008
DEUTSCHE BOERSE (XET),13454V,111,Investment Services,D:DB1X,E,GERMANY,DE0005810055
DEUTSCHE POST (XET),280599,40,Delivery Services,D:DPWX,E,GERMANY,DE0005552004
DEUTSCHE TELEKOM (XET),882415,142,Telecom. Services,D:DTEX,E,GERMANY,DE0005557508
DEUTSCHE WOHNEN (XET) BR.SHS.,35940R,112,"Real Estate Hold, Dev",D:DWNIX,E,GERMANY,DE000A0HN5C6
DIAGEO,900251,68,Distillers & Vintners,DGE,Pound,UNITED KINGDOM,GB0002374006
DIALOG SEMICON. (XET),275830,130,Semiconductors,D:DLGX,E,GERMANY,GB0059822006
DIASORIN,50831K,132,Medical Equipment,I:DIA,E,ITALY,IT0003492391
DIRECT LINE IN.GROUP,87728X,107,Prop. & Casualty Ins.,DLG,Pound,UNITED KINGDOM,GB00BY9D0Y18
DKSH HOLDING,86969F,259,Prof.Business Support,S:DKSH,SF,SWITZERLAND,CH0126673539
DNB,307532,102,Banks,N:DNB,NK,NORWAY,NO0010031479
DOMETIC GROUP,8725XQ,75,Consumer Electronics,W:DOMT,SK,SWEDEN,SE0007691613
SMITH (DS),910685,70,Containers & Package,SMDS,Pound,UNITED KINGDOM,GB0008220112
DSV 'B',505651,131,Trucking,DK:DSV,DK,DENMARK,DK0060079531
DUFRY 'R',32504M,90,Specialty Retailers,S:DUFN,SF,SWITZERLAND,CH0023405456
E ON N (XET),866060,91,Multi-Utilities,D:EOANX,E,GERMANY,DE000ENAG999
EASYJET,280641,129,Airlines,EZJ,Pound,UNITED KINGDOM,GB00B7KR2P84
EDENRED,69633H,46,Fin. Data Providers,F:EDEN,E,FRANCE,FR0010908533
EDF,32269V,169,Conv. Electricity,F:EDF,E,FRANCE,FR0010242511
EDP ENERGIAS DE PORTUGAL,885986,96,Alt. Electricity,P:ECP,E,PORTUGAL,PTEDP0AM0009
EIFFAGE,936469,39,Construction,F:FGR,E,FRANCE,FR0000130452
ELECTROCOMP.,904690,32,Industrial Suppliers,ECM,Pound,UNITED KINGDOM,GB0003096442
ELECTROLUX B,929501,59,Household Appliance,W:SE@G,SK,SWEDEN,SE0000103814
ELEKTA B,142150,132,Medical Equipment,W:ELKB,SK,SWEDEN,SE0000163628
ELISA,698783,142,Telecom. Services,M:ELIS,E,FINLAND,FI0009007884
ELIS,9301ZZ,249,Rent & Lease:Consumer,F:ELIS,E,FRANCE,FR0012435121
EMS-CHEMIE 'N',992911,33,Specialty Chemicals,S:EMSN,SF,SWITZERLAND,CH0016440353
ENAGAS,25714E,31,Gas Distribution,E:ENAG,E,SPAIN,ES0130960018
ENDESA,701720,169,Conv. Electricity,E:ELE,E,SPAIN,ES0130670112
ENEL,275791,169,Conv. Electricity,I:ENEL,E,ITALY,IT0003128367
ENGIE,31270N,91,Multi-Utilities,F:ENGI,E,FRANCE,FR0010208488
ENI,866154,97,Integrated Oil & Gas,I:ENI,E,ITALY,IT0003132476
EPIROC A,9307Q7,229,Machinery: Const.,W:EPIA,SK,SWEDEN,SE0011166933
EQUINOR,257544,97,Integrated Oil & Gas,N:EQNR,NK,NORWAY,NO0010096985
ERICSSON B,902179,126,Telecom. Equipment,W:SL@G,SK,SWEDEN,SE0000108656
ERSTE GROUP BANK,893617,102,Banks,O:ERS,E,AUSTRIA,AT0000652011
ESSILORLUXOTTICA,936514,103,Medical Supplies,F:EI,E,FRANCE,FR0000121667
COLRUYT,950997,88,Food Retail & Wsale,B:COL,E,BELGIUM,BE0974256852
EURAZEO,923284,104,"Asset Mngr, Custodian",F:ERF,E,FRANCE,FR0000121121
EUROFINS SCIENTIFIC,892981,233,Medical Services,F:EUF,E,FRANCE,FR0000038259
EURONEXT,8912GY,111,Investment Services,F:ENX,E,FRANCE,NL0006294274
EUTELSAT COMMUNICATIONS,32057D,126,Telecom. Equipment,F:ETL,E,FRANCE,FR0010221234
EVONIK INDUSTRIES (XET),88337U,33,Specialty Chemicals,D:EVKX,E,GERMANY,DE000EVNK013
EVOTEC (XET),278249,157,Biotechnology,D:EVTX,E,GERMANY,DE0005664809
EVRAZ,77863Q,56,Iron & Steel,EVR,Pound,UNITED KINGDOM,GB00B71N6K86
EXOR ORD,54810U,113,Div. Fin. Services,I:EXOR,E,ITALY,NL0012059018
EXPERIAN,410124,259,Prof.Business Support,EXPN,Pound,UNITED KINGDOM,GB00B19NLV48
ESSITY B,9105NJ,48,Personal Products,W:ESSI,SK,SWEDEN,SE0009922164
FABEGE,505155,112,"Real Estate Hold, Dev",W:FABG,SK,SWEDEN,SE0011166974
FASTIGHETS BALDER B,273689,112,"Real Estate Hold, Dev",W:BALB,SK,SWEDEN,SE0000455057
FAURECIA,937211,63,Auto Parts,F:BERT,E,FRANCE,FR0000121147
FERGUSON,900764,32,Industrial Suppliers,FERG,Pound,UNITED KINGDOM,JE00BJVNSS43
FERRARI (MIL),8802TW,65,Automobiles,I:RACE,U$,ITALY,NL0011585146
FERROVIAL,29716D,216,Eng. & Contract Svs,E:FERC,E,SPAIN,ES0118900010
FIAT CHRYSLER AUTOS.,907656,65,Automobiles,I:FCA,E,ITALY,NL0010877643
FINECOBANK SPA,8933TL,102,Banks,I:FCBK,E,ITALY,IT0000072170
FLUGHAFEN ZURICH,729478,64,Transport Services,S:FHZN,SF,SWITZERLAND,CH0319416936
FLUTTER (DUB) ENTERTAINMENT,255282,100,Casinos & Gambling,PPBI,E,IRELAND,IE00BWT6H894
FORTUM,690351,169,Conv. Electricity,M:FORT,E,FINLAND,FI0009007132
FRAPORT (XET),13922N,64,Transport Services,D:FRAX,E,GERMANY,DE0005773303
FREENET (XET),278660,142,Telecom. Services,D:FNTNX,E,GERMANY,DE000A0Z2ZZ5
FRESENIUS MED.CARE (XET),882295,223,Health Care Services,D:FMEX,E,GERMANY,DE0005785802
FRESENIUS (XET),695406,223,Health Care Services,D:FREX,E,GERMANY,DE0005785604
FUCHS PETROLUB PF. (XET),688661,33,Specialty Chemicals,D:FPE3X,E,GERMANY,DE0005790430
GALAPAGOS,30939T,157,Biotechnology,H:GLPG,E,BELGIUM,BE0003818359
GALENICA SANTE,9060U5,120,Drug Retailers,S:GALE,SF,SWITZERLAND,CH0360674466
GALP ENERGIA SGPS,41289P,97,Integrated Oil & Gas,P:GES,E,PORTUGAL,PTGAL0AM0009
GEA GROUP (XET),866054,43,Machinery: Industrial,D:G1AX,E,GERMANY,DE0006602006
GEBERIT 'R',672626,204,Building & Plumbing,S:GEBN,SF,SWITZERLAND,CH0030170408
GECINA REIT,936866,239,Office REITs,F:GFC,E,FRANCE,FR0010040865
GENMAB,266617,157,Biotechnology,DK:GEN,DK,DENMARK,DK0010272202
GEORG FISCHER,929718,43,Machinery: Industrial,S:FIN,SF,SWITZERLAND,CH0001752309
GERRESHEIMER (XET),50634H,103,Medical Supplies,D:GXIX,E,GERMANY,DE000A0LD6E6
GETINGE B,308998,132,Medical Equipment,W:GIND,SK,SWEDEN,SE0000202624
GIVAUDAN 'N',289247,33,Specialty Chemicals,S:GIVN,SF,SWITZERLAND,CH0010645932
GJENSIDIGE FORSIKRING,72981N,141,Full Line Insurance,N:GJF,NK,NORWAY,NO0010582521
GLANBIA,943979,71,Food Products,GL9,E,IRELAND,IE0000669501
GLAXOSMITHKLINE,900479,95,Pharmaceuticals,GSK,Pound,UNITED KINGDOM,GB0009252882
GLENCORE,77128V,49,Coal,GLEN,Pound,UNITED KINGDOM,JE00B4T3BW64
GN STORE NORD,923945,132,Medical Equipment,DK:GSN,DK,DENMARK,DK0010272632
GRAND CITY PROPS. (XET),87995H,112,"Real Estate Hold, Dev",D:GYCX,E,LUXEMBOURG,LU0775917882
GREAT PORTLAND ESTATES,901594,239,Office REITs,GPOR,Pound,UNITED KINGDOM,GB00BF5H9P87
GREENE KING,900250,72,Restaurants & Bars,GNK,Pound,UNITED KINGDOM,GB00B0HZP136
GREGGS,952780,88,Food Retail & Wsale,GRG,Pound,UNITED KINGDOM,GB00B63QSB39
GRENKE N (XET),290301,152,Mortgage Finance,D:GLJX,E,GERMANY,DE000A161N30
GRIFOLS ORD CL A,29238T,157,Biotechnology,E:PROB,E,SPAIN,ES0171996087
G4S,871674,250,Security Services,GFS,Pound,UNITED KINGDOM,GB00B01FLG62
GBL NEW,930132,113,Div. Fin. Services,B:GBLN,E,BELGIUM,BE0003797140
SOCIETE GENERALE,755457,102,Banks,F:SGE,E,FRANCE,FR0000130809
GVC HOLDINGS,29927R,100,Casinos & Gambling,GVC,E,UNITED KINGDOM,IM00B5VQMV65
GETLINK,50767F,81,Railroads,F:GET,E,FRANCE,FR0010533075
H LUNDBECK,698585,95,Pharmaceuticals,DK:LUN,DK,DENMARK,DK0010287234
HALMA,910821,214,Elec. Eq: Gauges,HLMA,Pound,UNITED KINGDOM,GB0004052071
HAMMERSON,901596,161,Retail REITs,HMSO,Pound,UNITED KINGDOM,GB0004065016
HANNOVER RUECK (XET),888221,133,Reinsurance,D:HNR1X,E,GERMANY,DE0008402215
HARGREAVES LANSDOWN,50530U,104,"Asset Mngr, Custodian",HL.,Pound,UNITED KINGDOM,GB00B1VZ0M25
HAYS,901164,134,"Training, Emp. Agency",HAS,Pound,UNITED KINGDOM,GB0004161021
HEIDELBERGCEMENT (XET),870522,206,Cement,D:HEIX,E,GERMANY,DE0006047004
HEINEKEN HOLDING,929708,67,Brewers,H:HBA,E,NETHERLANDS,NL0000008977
HEINEKEN,905001,67,Brewers,H:HB,E,NETHERLANDS,NL0000009165
HELLA GMBH & KGAA,9173CH,63,Auto Parts,D:HLEX,E,GERMANY,DE000A13SX22
HELVETIA HOLDING N,929869,141,Full Line Insurance,S:HELN,SF,SWITZERLAND,CH0466642201
HENKEL PREF. (XET),866046,225,Hhold Equip. Products,D:HEN3X,E,GERMANY,DE0006048432
HENNES & MAURITZ B,702520,66,Apparel Retailers,W:HMBF,SK,SWEDEN,SE0000106270
HERA,27202M,91,Multi-Utilities,I:HER,E,ITALY,IT0001250932
HERMES INTL.,309037,69,"Clothing, Accessories",F:RMS,E,FRANCE,FR0000052292
HEXAGON B,779136,58,Software,W:EKBF,SK,SWEDEN,SE0000103699
HEXPOL B,53505R,210,Diversified Materials,W:HPOL,SK,SWEDEN,SE0007074281
HIKMA PHARMACEUTICALS,32273L,95,Pharmaceuticals,HIK,Pound,UNITED KINGDOM,GB00B0LCW083
HISCOX DI,359881,107,Prop. & Casualty Ins.,HSX,Pound,UNITED KINGDOM,BMG4593F1389
HOCHTIEF (XET),870523,39,Construction,D:HOTX,E,GERMANY,DE0006070006
HOMESERVE,928782,259,Prof.Business Support,HSV,Pound,UNITED KINGDOM,GB00BYYTFB60
HOWDEN JOINERY GP.,507530,85,Home Imprv. Retailers,HWDN,Pound,UNITED KINGDOM,GB0005576813
HSBC HOLDINGS,507534,102,Banks,HSBA,Pound,UNITED KINGDOM,GB0005405286
BOSS (HUGO) (XET),695420,69,"Clothing, Accessories",D:BOSSX,E,GERMANY,DE000A1PHFF7
HUHTAMAKI,772286,70,Containers & Package,M:HUIF,E,FINLAND,FI0009000459
HUSQVARNA B,36104X,225,Hhold Equip. Products,W:HUSB,SK,SWEDEN,SE0001662230
INTL.CONS.AIRL.GP.,74190D,129,Airlines,IAG,E,SPAIN,ES0177542018
IBERDROLA,998213,169,Conv. Electricity,E:IBE,E,SPAIN,ES0144580Y14
ICA GRUPPEN,32508K,88,Food Retail & Wsale,W:ICA,SK,SWEDEN,SE0000652216
ICADE REIT,929291,239,Office REITs,F:ICAD,E,FRANCE,FR0000035081
IG GROUP HOLDINGS,30851E,111,Investment Services,IGG,Pound,UNITED KINGDOM,GB00B06QFB75
ILIAD,28400H,142,Telecom. Services,F:ILD,E,FRANCE,FR0004035913
IMCD GROUP,8916Y6,33,Specialty Chemicals,H:IMCD,E,NETHERLANDS,NL0010801007
IMI,901704,213,Elec. Eq: Control,IMI,Pound,UNITED KINGDOM,GB00BGLP8L22
IMPERIAL BRANDS,882240,79,Tobacco,IMB,Pound,UNITED KINGDOM,GB0004544929
INCHCAPE,901029,90,Specialty Retailers,INCH,Pound,UNITED KINGDOM,GB00B61TVQ02
INDUSTRIVARDEN A,929438,113,Div. Fin. Services,W:IU,SK,SWEDEN,SE0000190126
INDUTRADE,31969R,101,Divers. Industrials,W:INDT,SK,SWEDEN,SE0001515552
INFINEON TECHS. (XET),287940,130,Semiconductors,D:IFXX,E,GERMANY,DE0006231004
INFORMA,679154,41,Media Agencies,INF,Pound,UNITED KINGDOM,GB00BMJ6DW54
ING GROEP,531865,102,Banks,H:INGA,E,NETHERLANDS,NL0011821202
INGENICO GROUP,921366,34,Computer Hardware,F:INGE,E,FRANCE,FR0000125346
INMARSAT,30877H,142,Telecom. Services,ISAT,Pound,UNITED KINGDOM,GB00B09LSH68
INMOBILIARIA COLONIAL,779321,239,Office REITs,E:COL,E,SPAIN,ES0139140174
INNOGY (XET),2628HR,91,Multi-Utilities,D:IGYX,E,GERMANY,DE000A2AADD2
